Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2020-01-02,72.716064453125,72.77659055848162,71.4668047519516,71.72101143907315,135480400
2020-01-03,72.00911712646484,72.77174458511139,71.7839617851537,71.94132818321717,146322800
2020-01-06,72.58291625976562,72.62165386110323,70.87608272259153,71.12787343706493,118387200
2020-01-07,72.24153900146484,72.84921605109494,72.02122310005907,72.59258596559819,108872000
2020-01-08,73.40364074707031,73.70627127642481,71.94375136900179,71.94375136900179,132079200
2020-01-09,74.96280670166016,75.15648731833909,74.1323901596974,74.38417348369161,170108400
2020-01-10,75.13227844238281,75.69880941545972,74.6287043855216,75.19765137920673,140644800
2020-01-13,76.73741149902344,76.76404682603398,75.3307854721379,75.44942165682815,121532000
2020-01-14,75.70122528076172,76.88511970700802,75.57775702296071,76.67448999643469,161954400
2020-01-15,75.37679290771484,76.38394823058523,74.94342390604251,75.5002685322302,121923600
2020-01-16,76.32099151611328,76.43236486391163,75.55836410557868,75.92152071901803,108829200
2020-01-17,77.16593933105469,77.16835535095495,76.26288724448004,76.57035717765905,137816400
2020-01-21,76.64299774169922,77.23614913553814,76.5049964495613,76.79310129941813,110843200
2020-01-22,76.91658020019531,77.47099402402007,76.82215592624772,77.1296258918447,101832400
2020-01-23,77.2869873046875,77.3668785027068,76.42024944843635,76.96983114393875,104472000
2020-01-24,77.06427764892578,78.27963949778808,76.87301303795586,77.53396093858308,146537600
2020-01-27,74.79817199707031,75.48090092368226,73.81280512269632,75.06690438729518,161940000
2020-01-28,76.9141616821289,77.08605376922371,75.58258723533865,75.6818509443487,162234000
2020-01-29,78.52413940429688,79.37392820388496,77.80751245640747,78.55077473001256,216229200
2020-01-30,78.41036224365234,78.46362551493233,77.17078871761717,77.60415772537527,126743200
2020-01-31,74.93374633789062,78.12225762194025,74.63837863048332,77.69857485901245,199588400
2020-02-03,74.72795104980469,75.89731214570682,73.16879799630816,73.67237193822604,173788400
2020-02-04,77.19500732421875,77.3862719133486,75.93122176752728,76.33795548064964,136616400
2020-02-05,77.82447052001953,78.62583557722229,77.21920945636545,78.32562106551018,118826800
2020-02-06,78.73478698730469,78.73721039613278,77.53637437960353,78.09563507421905,105425600
2020-02-07,77.66455078125,78.4823777284415,77.17191276643283,78.23241868458796,117684000
2020-02-10,78.03343963623047,78.03343963623047,76.1648155367922,76.24489635857795,109348800
2020-02-11,77.5626449584961,78.60374012100387,77.34423530217373,78.53093937088862,94323200
2020-02-12,79.40457916259766,79.40943007689862,78.01402569685219,78.01402569685219,113730400
2020-02-13,78.83914184570312,79.16676004463604,78.47027235558737,78.67412186901794,94747600
2020-02-14,78.85856628417969,79.10852542853588,78.34893875905203,78.80759834748271,80113600
2020-02-18,77.41459655761719,77.59660579717271,76.34923225388421,76.53124149343974,152531200
2020-02-19,78.5357894897461,78.76633753940254,77.65729255269991,77.65729255269991,93984000
2020-02-20,77.73008728027344,78.78574250032466,77.22288901629881,78.29553354521413,100566000
2020-02-21,75.97067260742188,77.76650347779221,75.3518440007245,77.32239667498202,129554000
2020-02-24,72.36204528808594,73.81811974778519,70.19007199595448,72.13878468494622,222195200
2020-02-25,69.91097259521484,73.41768758581995,69.4377529242665,73.03425797216033,230673600
2020-02-26,71.02002716064453,72.28924134156426,69.5275523864246,69.53483246216315,198054800
2020-02-27,66.37757110595703,69.4062083168437,66.2416714304022,68.21708245275049,320605600
2020-02-28,66.33875274658203,67.56428659945458,62.21563736129434,62.431625307107254,426510000
2020-03-02,72.51492309570312,73.15317015362184,67.39682304876307,68.50343887480543,341397200
2020-03-03,70.21190643310547,73.77443320656704,69.35767141404621,73.69435237651876,319475600
2020-03-04,73.4686508178711,73.62881987433597,71.13650877871662,71.93977581539738,219178400
2020-03-05,71.08555603027344,72.69451203400999,70.71910826678842,71.71651568382781,187572800
2020-03-06,70.14151763916016,70.5759151634938,68.24862422437134,68.43548440571074,226176800
2020-03-09,64.59387969970703,67.48660954634035,63.82458392757783,64.00659319733327,286744800
2020-03-10,69.24602508544922,69.51297346708441,65.37044115282052,67.25606172575357,285290000
2020-03-11,66.84107971191406,68.24619329059158,65.9747138459021,67.31673591637701,255598800
2020-03-12,60.24021530151367,65.52333888472222,60.18440016078189,62.111272274536645,418474000
2020-03-13,67.45748138427734,67.93070839286551,61.38565181622262,64.28324334840872,370732000
2020-03-16,58.77928924560547,62.87327957704444,58.24296696218062,58.71619032815072,322423600
2020-03-17,61.36381149291992,62.516533028751404,57.85467155764232,60.06547737431807,324056000
2020-03-18,59.861637115478516,60.66975874633833,57.54405159077075,58.187153255274865,300233600
2020-03-19,59.40296936035156,61.35896164078844,58.876356338925326,60.036361741511776,271857200
2020-03-20,55.63174057006836,61.11385881136198,55.330817248448476,59.98539913252844,401693200
2020-03-23,54.44989776611328,55.45216343682044,51.59599344484774,55.350238679238295,336752800
2020-03-24,59.91260528564453,60.10917472444294,56.859702380225244,57.359620632722056,287531200
2020-03-25,59.582557678222656,62.67186075528643,59.28648895944169,60.851767993758266,303602000
2020-03-26,62.71796417236328,62.77620476506975,59.786401276197694,59.825230806660564,252087200
2020-03-27,60.12130355834961,62.09428153233142,59.95385443702902,61.33712415208677,204216800
2020-03-30,61.8370361328125,62.0093398541759,60.52414183848412,60.849334516621546,167976400
2020-03-31,61.710838317871094,63.70080528173277,61.15510506386712,62.02875090311736,197002000
2020-04-01,58.46380615234375,60.35912878890937,58.031837774101646,59.82038104472191,176218400
2020-04-02,59.43937301635742,59.49276269917482,57.49066070248686,58.32547715782636,165934000
2020-04-03,58.58513259887695,59.626223778628386,57.99299530380675,58.92245622805385,129880000
2020-04-06,63.695980072021484,63.851290836131824,60.51931172134009,60.88818126633287,201820400
2020-04-07,62.958221435546875,65.93589798982386,62.85387122600371,65.71748092950824,202887200
2020-04-08,64.5696029663086,64.88508270225176,63.395037501230945,63.76147775323179,168895200
2020-04-09,65.03553009033203,65.54030645872038,64.2371216691566,65.20783747885463,161834800
2020-04-13,66.31204223632812,66.42125075775364,64.51136064871955,65.11320728466447,131022800
2020-04-14,69.6610107421875,69.95222853281514,67.47689953040836,67.95012658868427,194994800
2020-04-15,69.02519226074219,69.48628092008256,68.10301494206142,68.53255414367216,131154400
2020-04-16,69.57364654541016,69.94009422345636,68.5204205220071,69.7410956561746,157125200
2020-04-17,68.62963104248047,69.63675500516926,67.1881169210457,69.08829799292641,215250000
2020-04-20,67.20509338378906,68.35781862849281,67.18568232250739,67.45263070247596,130015200
2020-04-21,65.12775421142578,67.28274465717786,64.4142774447653,67.04734575925282,180991600
2020-04-22,67.00364685058594,67.44046591523393,66.05720060653367,66.39937134379024,116862400
2020-04-23,66.74400329589844,68.37480642869768,66.7051737682157,66.94785276175145,124814400
2020-04-24,68.6708755493164,68.68058478279482,67.22208165212722,67.27062041354411,126161200
2020-04-27,68.71941375732422,69.05188279302438,67.93798710304658,68.38693731564892,117087600
2020-04-28,67.60552215576172,69.36494515545422,67.51331034369456,69.18293587962397,112004800
2020-04-29,69.82604217529297,70.29684010085327,68.89415555935265,69.0980050622793,137280800
2020-04-30,71.299072265625,71.47623056457492,69.97647643694012,70.36718599002744,183064000
2020-05-01,70.15125274658203,72.56105455348182,69.3698257089977,69.46689587268953,240616800
2020-05-04,71.14378356933594,71.27240315582554,69.48385993378157,70.17549663342325,133568000
2020-05-05,72.21156311035156,73.04637946818022,71.4592567243347,71.60486560646302,147751200
2020-05-06,72.95659637451172,73.58998507405805,72.52947892116252,72.91533768168664,142333600
2020-05-07,73.71133422851562,74.05837090774547,73.28179496479571,73.58514378532654,115215200
2020-05-08,75.46578216552734,75.51931637355732,74.04470105585122,74.3732060857613,133838400
2020-05-11,76.65325927734375,77.14965926401848,74.7625342106639,74.97180698726206,145946400
2020-05-12,75.7772445678711,77.79206581684177,75.65557660011677,77.3394571152635,162301200
2020-05-13,74.86231231689453,76.88200539450654,73.78189997803335,75.95732422038697,200622400
2020-05-14,75.32220458984375,75.38303857132479,73.373081446864,74.09822517948626,158929200
2020-05-15,74.87690734863281,74.92314177584109,73.05188761996168,73.08595821938853,166348400
2020-05-18,76.6410903930664,77.01582984347145,75.51201542213853,76.20552437986748,135178400
2020-05-19,76.1982192993164,77.50736040977804,76.16658443916718,76.65812036126512,101729600
2020-05-20,77.68013763427734,77.75069971271533,77.02069186607584,77.05962650901947,111504800
2020-05-21,77.10099792480469,78.08407725078851,76.86252601832638,77.54143540411926,102688800
2020-05-22,77.59739685058594,77.68013017413679,76.73598559499173,76.83818252513326,81803200
2020-05-26,77.0718002319336,78.89924821688763,77.01583028852903,78.71918198527375,125522000
2020-05-27,77.4075927734375,77.55359582351838,76.1860490206754,76.92822809774341,112945200
2020-05-28,77.44168090820312,78.7045953244802,76.80414178535541,77.08154095991135,133560800
2020-05-29,77.36622619628906,78.14733245248436,77.00852208206489,77.6849956705814,153532400
2020-06-01,78.31766510009766,78.43933305662227,77.18858289905835,77.3199863713913,80791200
2020-06-02,78.68025207519531,78.70458715753213,77.60713955055513,78.05001280060178,87642800
2020-06-03,79.11338806152344,79.37619506332315,78.4271788552984,79.00145559647322,104491200
2020-06-04,78.43205261230469,79.23505835292487,78.05731313453714,78.93575985874213,87560400
2020-06-05,80.66586303710938,80.72669702130025,78.65347751344345,78.68267663769132,137250400
2020-06-08,81.14281463623047,81.17688523826865,79.64873556537788,80.36170821177842,95654400
2020-06-09,83.70513153076172,84.09933458379527,80.7899715861673,80.82160644800746,147712400
2020-06-10,85.85865783691406,86.32829444981938,84.21614013366542,84.65657762001017,166651600
